model,ckpt_path,member_id,corruption,param,severity,accuracy
federated_ft_m3,lstm\federated\federated_finetuned_member3.pt,3,gaussian,sigma,0.05,0.830945558739255
federated_ft_m3,lstm\federated\federated_finetuned_member3.pt,3,gaussian,sigma,0.1,0.829512893982808
federated_ft_m3,lstm\federated\federated_finetuned_member3.pt,3,gaussian,sigma,0.2,0.7946172738436349
federated_ft_m3,lstm\federated\federated_finetuned_member3.pt,3,ch_dropout,p,0.0,0.8316618911174785
federated_ft_m3,lstm\federated\federated_finetuned_member3.pt,3,ch_dropout,p,0.1,0.7727179697093737
federated_ft_m3,lstm\federated\federated_finetuned_member3.pt,3,ch_dropout,p,0.3,0.6440851412198118
federated_ft_m3,lstm\federated\federated_finetuned_member3.pt,3,ch_dropout,p,0.5,0.5170896438804748
federated_ft_m3,lstm\federated\federated_finetuned_member3.pt,3,time_mask,L,0.0,0.8316618911174785
federated_ft_m3,lstm\federated\federated_finetuned_member3.pt,3,time_mask,L,5.0,0.8054645927138764
federated_ft_m3,lstm\federated\federated_finetuned_member3.pt,3,time_mask,L,10.0,0.7734343020875972
federated_ft_m3,lstm\federated\federated_finetuned_member3.pt,3,time_mask,L,20.0,0.709578387228817
federated_ft_m3,lstm\federated\federated_finetuned_member3.pt,3,time_mask,L,40.0,0.4996930004093328
federated_ft_m3,lstm\federated\federated_finetuned_member3.pt,3,time_shift,k,0.0,0.8316618911174785
federated_ft_m3,lstm\federated\federated_finetuned_member3.pt,3,time_shift,k,2.0,0.8228612361850184
federated_ft_m3,lstm\federated\federated_finetuned_member3.pt,3,time_shift,k,5.0,0.8120139173147769
federated_ft_m3,lstm\federated\federated_finetuned_member3.pt,3,time_shift,k,10.0,0.7677036430618093
federated_ft_m3,lstm\federated\federated_finetuned_member3.pt,3,time_shift,k,20.0,0.5792058943921408
